iter	Logloss
0	0.6758868757
1	0.6595210456
2	0.6437481254
3	0.6293003125
4	0.6154070244
5	0.6022309728
6	0.5899506758
7	0.5781602515
8	0.5664281896
9	0.555667207
10	0.5455905409
11	0.5358160554
12	0.5267686157
13	0.517730658
14	0.5094124461
15	0.5016147366
16	0.4941010021
17	0.4871196773
18	0.4803336073
19	0.4739717063
20	0.4679737075
21	0.4621677136
22	0.4566740733
23	0.4512112605
24	0.446930995
25	0.4419818829
26	0.4381976968
27	0.4345433181
28	0.4303256009
29	0.4263749309
30	0.4226594714
31	0.419142691
32	0.4155875281
33	0.4125123899
34	0.4093660391
35	0.4064444802
36	0.4035871727
37	0.4008240172
38	0.3982351308
39	0.3958482034
40	0.3935053333
41	0.3916291879
42	0.3899064835
43	0.387789251
44	0.3858737514
45	0.3839269252
46	0.382133276
47	0.3804185575
48	0.3791735306
49	0.3774448762
50	0.3758401733
51	0.3745262114
52	0.3731207184
53	0.3717486061
54	0.3702683012
55	0.3689230673
56	0.367824603
57	0.3666242125
58	0.3654895451
59	0.3647385489
60	0.363995083
61	0.3630842023
62	0.3621293947
63	0.3611852907
64	0.360293845
65	0.3593972149
66	0.3585718021
67	0.3578524015
68	0.3573306786
69	0.3566228505
70	0.3560826308
71	0.3554083684
72	0.3548298661
73	0.3544151425
74	0.35385592
75	0.3533166778
76	0.3527115995
77	0.3522759748
78	0.3516316645
79	0.3511050024
80	0.3505558848
81	0.3501186082
82	0.3495426796
83	0.349387512
84	0.3488071988
85	0.3484042012
86	0.3478898449
87	0.3475095506
88	0.3473113453
89	0.3467756261
90	0.3463915669
91	0.3460373479
92	0.3455617409
93	0.3451983759
94	0.3448384431
95	0.3445288429
96	0.3441716343
97	0.3438428438
98	0.3435139435
99	0.3431280155
100	0.342813545
101	0.3426977495
102	0.3424356589
103	0.3420821909
104	0.3418324253
105	0.3416413966
106	0.3413753636
107	0.3411845295
108	0.3409351987
109	0.340574752
110	0.3403279837
111	0.340074811
112	0.3396991959
113	0.3394403514
114	0.3392541046
115	0.3390094242
116	0.3388237477
117	0.3386173703
118	0.338440436
119	0.3383385177
120	0.3380667213
121	0.3378710622
122	0.3377142565
123	0.3373480625
124	0.3372203594
125	0.3370240126
126	0.3367937835
127	0.3366097506
128	0.3364009484
129	0.3361943769
130	0.3360581562
131	0.3357878155
132	0.3356156509
133	0.3354444989
134	0.3353336852
135	0.3351187749
136	0.3350058098
137	0.3348163652
138	0.334630732
139	0.3344458504
140	0.3341352681
141	0.3339762145
142	0.3338224783
143	0.3337441879
144	0.3337010858
145	0.3334884712
146	0.3333239668
147	0.333199216
148	0.3330316526
149	0.3329692953
150	0.3328795944
151	0.3327821432
152	0.3326096689
153	0.3324229294
154	0.3322855865
155	0.3320878246
156	0.3319689688
157	0.3318656142
158	0.3316834393
159	0.3315499884
160	0.3313386764
161	0.331148505
162	0.3309484309
163	0.3307790399
164	0.3306110183
165	0.3304691063
166	0.3303012069
167	0.3301456707
168	0.3299606309
169	0.3298001268
170	0.3296384029
171	0.3294119243
172	0.3293241127
173	0.3291210056
174	0.3290057248
175	0.3288677513
176	0.3287019265
177	0.3285940491
178	0.3284152118
179	0.3283499901
180	0.3282509508
181	0.32807904
182	0.3278784887
183	0.3277914198
184	0.3276772955
185	0.3275148
186	0.3273544819
187	0.3271805001
188	0.3269894839
189	0.3269580177
190	0.3268215049
191	0.326757753
192	0.3266995297
193	0.3265376163
194	0.3264552145
195	0.3263812918
196	0.3262669903
197	0.3261559726
198	0.3260495219
199	0.3258576308
200	0.3257401882
201	0.3256229121
202	0.3255324782
203	0.3254376549
204	0.3252855115
205	0.3252177483
206	0.3251123956
207	0.3249321498
208	0.3248328151
209	0.3246392969
210	0.3245316061
211	0.3244851583
212	0.3243736819
213	0.3243169019
214	0.3241407088
215	0.3240128048
216	0.3239399982
217	0.3239350996
218	0.3238235831
219	0.3237436073
220	0.3236137956
221	0.3234966541
222	0.3234008263
223	0.3233218078
224	0.3232096772
225	0.3231278603
226	0.3229834649
227	0.3228303719
228	0.3226890677
229	0.3225203439
230	0.3223638699
231	0.3222664547
232	0.3220303748
233	0.3219474239
234	0.3218323732
235	0.3216758265
236	0.3215010221
237	0.3213867939
238	0.3212864871
239	0.3211479583
240	0.3209372469
241	0.3208425401
242	0.3206752165
243	0.3206205747
244	0.3204676895
245	0.3203414363
246	0.3203004655
247	0.320216853
248	0.3201212251
249	0.3200132355
250	0.3199461713
251	0.3198213185
252	0.3197214999
253	0.3196725147
254	0.319469307
255	0.3193140389
256	0.3192118486
257	0.3191663486
258	0.3191135479
259	0.3190061447
260	0.3189481637
261	0.3188257189
262	0.3187174173
263	0.3186584609
264	0.3185912477
265	0.3185346898
266	0.3184417367
267	0.3183501831
268	0.318233758
269	0.3181436577
270	0.3180705014
271	0.3179302146
272	0.3178023317
273	0.317713791
274	0.3176115107
275	0.3175299542
276	0.3174148669
277	0.3173310042
278	0.317253772
279	0.3171629646
280	0.3170940664
281	0.316909131
282	0.3168212969
283	0.3167345115
284	0.3166726701
285	0.3164941886
286	0.3164034946
287	0.3163253088
288	0.3161693253
289	0.3160817911
290	0.3159360655
291	0.3158677439
292	0.315774633
293	0.3156208859
294	0.3155892237
295	0.3155135351
296	0.3154394002
297	0.3153201277
298	0.315240797
299	0.315194457
300	0.3151220442
301	0.3150722829
302	0.3149954271
303	0.3148626938
304	0.3148353357
305	0.314727438
306	0.3144858997
307	0.314371047
308	0.3142686618
309	0.314201547
310	0.3141000558
311	0.31390688
312	0.313801901
313	0.3137330732
314	0.3136032421
315	0.3134462489
316	0.3133673773
317	0.3133217175
318	0.3132673444
319	0.3131864966
320	0.3131583996
321	0.3131132962
322	0.3130566307
323	0.3129172015
324	0.312782886
325	0.3127658489
326	0.312667557
327	0.3125130512
328	0.3124124481
329	0.3122927269
330	0.312194484
331	0.3121275047
332	0.3120388134
333	0.3118853357
334	0.3118003956
335	0.3116876892
336	0.3115914353
337	0.3114285425
338	0.3112488568
339	0.3111150172
340	0.3109652498
341	0.3108726252
342	0.3108034497
343	0.3107268391
344	0.3106414433
345	0.3105525531
346	0.3104180145
347	0.3103659874
348	0.3103492111
349	0.3102740945
350	0.3101507232
351	0.3099938644
352	0.3098890025
353	0.3096782257
354	0.309563269
355	0.3094906136
356	0.3093446955
357	0.3092818954
358	0.3092024372
359	0.3091080804
360	0.3090073515
361	0.3089318793
362	0.3088668404
363	0.3087288308
364	0.308687224
365	0.3086045514
366	0.3084891933
367	0.3083877013
368	0.3082449443
369	0.3081494599
370	0.3080345719
371	0.3079091155
372	0.3078551528
373	0.3077365081
374	0.3076030797
375	0.3075288433
376	0.3074691426
377	0.3073427126
378	0.3072701611
379	0.3072050061
380	0.3071056538
381	0.3070157425
382	0.3069582034
383	0.3068773081
384	0.3067796418
385	0.3067199434
386	0.3065707499
387	0.3065055986
388	0.3063929248
389	0.306288646
390	0.3061999958
391	0.3060878802
392	0.3059592716
393	0.3058544161
394	0.3058279433
395	0.3056959212
396	0.3056828667
397	0.3055678335
398	0.3053871871
399	0.3052562294
400	0.3051508726
401	0.3050008205
402	0.304840725
403	0.3047503011
404	0.3046893567
405	0.3046372758
406	0.3045812221
407	0.3044938884
408	0.3043308795
409	0.3042249524
410	0.3040988416
411	0.3039793027
412	0.3039120448
413	0.3038082567
414	0.3036896844
415	0.303606002
416	0.3035130225
417	0.3034267181
418	0.3033676389
419	0.3032793483
420	0.3032385507
421	0.3031192207
422	0.30306826
423	0.3029689668
424	0.3028704462
425	0.3028202322
426	0.3027058488
427	0.3025988116
428	0.3024399806
429	0.3023012688
430	0.3022311891
431	0.3021414005
432	0.3020705289
433	0.3019097046
434	0.301829059
435	0.3016810672
436	0.3016120919
437	0.3014946991
438	0.3013101529
439	0.301140037
440	0.3010151638
441	0.3009435597
442	0.3008356874
443	0.3007113237
444	0.3005895789
445	0.3004905236
446	0.3004321123
447	0.3003352126
