iter	Passed	Remaining
0	5	5214
1	10	5016
2	14	4754
3	18	4596
4	23	4668
5	28	4684
6	33	4719
7	39	4872
8	45	5025
9	51	5069
10	56	5110
11	62	5180
12	68	5167
13	77	5458
14	84	5542
15	93	5737
16	101	5892
17	113	6166
18	125	6471
19	137	6713
20	142	6666
21	152	6763
22	161	6842
23	170	6927
24	181	7092
25	189	7085
26	195	7027
27	200	6957
28	209	7014
29	224	7251
30	241	7563
31	258	7821
32	277	8143
33	296	8421
34	305	8419
35	316	8463
36	325	8465
37	333	8445
38	340	8382
39	350	8401
40	362	8480
41	370	8444
42	375	8357
43	379	8255
44	384	8161
45	389	8085
46	396	8043
47	402	7980
48	407	7909
49	412	7832
50	418	7796
51	424	7734
52	428	7663
53	433	7596
54	439	7545
55	447	7540
56	452	7482
57	458	7445
58	464	7401
59	469	7356
60	476	7335
61	481	7287
62	487	7243
63	491	7191
64	496	7140
65	501	7093
66	506	7057
67	512	7029
68	518	6998
69	524	6971
70	531	6957
71	542	6987
72	551	6997
73	556	6960
74	562	6931
75	567	6902
76	572	6866
77	577	6831
78	582	6796
79	587	6754
80	591	6714
81	597	6692
82	605	6695
83	614	6697
84	620	6674
85	628	6675
86	633	6643
87	638	6612
88	644	6596
89	649	6564
90	653	6525
91	657	6492
92	662	6458
93	666	6426
94	671	6393
95	676	6370
96	681	6342
97	686	6317
98	692	6301
99	697	6277
100	701	6245
101	706	6222
102	711	6193
103	715	6162
104	723	6167
105	732	6180
106	741	6187
107	746	6163
108	752	6152
109	758	6135
110	764	6119
111	770	6108
112	775	6087
113	781	6071
114	786	6049
115	790	6026
116	795	6007
117	801	5992
118	806	5973
119	812	5956
120	817	5939
121	822	5916
122	826	5895
123	832	5879
124	837	5860
125	841	5839
126	846	5821
127	852	5805
128	856	5782
129	860	5759
130	864	5737
131	869	5717
132	874	5698
133	878	5679
134	883	5662
135	888	5645
136	892	5625
137	897	5606
138	902	5592
139	907	5573
140	915	5576
141	920	5559
142	926	5552
143	933	5549
144	938	5536
145	944	5523
146	949	5510
147	958	5518
148	964	5509
149	969	5494
150	975	5487
151	982	5483
152	991	5486
153	999	5490
154	1007	5494
155	1013	5483
156	1020	5479
157	1027	5476
158	1033	5466
159	1038	5453
160	1046	5452
161	1052	5445
162	1058	5433
163	1062	5416
164	1067	5402
165	1072	5388
166	1077	5374
167	1081	5356
168	1086	5342
169	1091	5326
170	1095	5311
171	1100	5297
172	1104	5281
173	1111	5275
174	1118	5273
175	1123	5261
176	1129	5249
177	1133	5235
178	1139	5224
179	1143	5211
180	1148	5196
181	1154	5189
182	1159	5174
